what,kind,bundleId,bundleVersion,description,time
started,bundle,org.eclipse.equinox.security,1.1.1.R37x_v20110822-1018,"org.eclipse.equinox.security",1384871327479
started,bundle,org.eclipse.equinox.util,1.0.300.v20110502,"org.eclipse.equinox.util",1384871327480
started,bundle,org.eclipse.help,3.5.100.v20110426,"org.eclipse.help",1384871327480
started,bundle,org.eclipse.jface,3.7.0.v20110928-1505,"org.eclipse.jface",1384871327481
started,bundle,org.eclipse.jgit,1.3.0.201202151440-r,"org.eclipse.jgit",1384871327482
started,bundle,org.eclipse.jsch.core,1.1.300.I20110514-0800,"org.eclipse.jsch.core",1384871327482
started,bundle,org.eclipse.linuxtools.cdt.autotools.core,1.0.2.201202152032,"org.eclipse.linuxtools.cdt.autotools.core",1384871327483
started,bundle,org.eclipse.ltk.core.refactoring,3.5.201.r372_v20111101-0700,"org.eclipse.ltk.core.refactoring",1384871327483
started,bundle,org.eclipse.ltk.ui.refactoring,3.6.0.v20110928-1453,"org.eclipse.ltk.ui.refactoring",1384871327484
started,bundle,org.eclipse.mylyn.bugzilla.core,3.6.5.v20120123-0100,"org.eclipse.mylyn.bugzilla.core",1384871327485
started,bundle,org.eclipse.mylyn.bugzilla.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.bugzilla.ui",1384871327485
started,bundle,org.eclipse.mylyn.commons.identity,0.8.0.v20110608-1400,"org.eclipse.mylyn.commons.identity",1384871327485
started,bundle,org.eclipse.mylyn.commons.net,3.6.0.v20110608-1400,"org.eclipse.mylyn.commons.net",1384871327485
started,bundle,org.eclipse.mylyn.commons.ui,3.6.1.v20110720-0100,"org.eclipse.mylyn.commons.ui",1384871327486
started,bundle,org.eclipse.mylyn.context.core,3.6.1.v20110720-0100,"org.eclipse.mylyn.context.core",1384871327486
started,bundle,org.eclipse.mylyn.context.ui,3.6.1.v20120112-0100,"org.eclipse.mylyn.context.ui",1384871327488
started,bundle,org.eclipse.mylyn.monitor.ui,3.6.0.v20110608-1400,"org.eclipse.mylyn.monitor.ui",1384871327488
started,bundle,org.eclipse.mylyn.tasks.ui,3.6.5.v20120215-0100,"org.eclipse.mylyn.tasks.ui",1384871327489
started,bundle,org.eclipse.mylyn.team.ui,3.6.1.v20110825-0100,"org.eclipse.mylyn.team.ui",1384871327490
started,bundle,org.eclipse.search,3.7.0.v20110928-1504,"org.eclipse.search",1384871327490
started,bundle,org.eclipse.team.core,3.6.0.I20110525-0800,"org.eclipse.team.core",1384871327491
started,bundle,org.eclipse.team.cvs.core,3.3.400.I20110510-0800,"org.eclipse.team.cvs.core",1384871327491
started,bundle,org.eclipse.team.cvs.ui,3.3.401.v20120126-1227,"org.eclipse.team.cvs.ui",1384871327492
started,bundle,org.eclipse.team.ui,3.6.101.R37x_v20111109-0800,"org.eclipse.team.ui",1384871327493
started,bundle,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui",1384871327494
started,bundle,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console",1384871327494
started,bundle,org.eclipse.ui.editors,3.7.0.v20110928-1504,"org.eclipse.ui.editors",1384871327494
started,bundle,org.eclipse.ui.forms,3.5.101.v20111011-1919,"org.eclipse.ui.forms",1384871327495
started,bundle,org.eclipse.ui.ide,3.7.0.v20110928-1505,"org.eclipse.ui.ide",1384871327495
started,bundle,org.eclipse.ui.navigator,3.5.101.v20120106-1355,"org.eclipse.ui.navigator",1384871327496
started,bundle,org.eclipse.ui.navigator.resources,3.4.300.v20110928-1505,"org.eclipse.ui.navigator.resources",1384871327496
started,bundle,org.eclipse.ui.net,1.2.100.v20111208-1155,"org.eclipse.ui.net",1384871327497
started,bundle,org.eclipse.ui.views,3.6.0.v20110928-1505,"org.eclipse.ui.views",1384871327497
started,bundle,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"org.eclipse.ui.workbench",1384871327498
started,bundle,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.workbench.texteditor",1384871327499
started,bundle,org.eclipse.update.configurator,3.3.100.v20100512,"org.eclipse.update.configurator",1384871327499
started,bundle,org.eclipse.update.core,3.2.500.v20110330,"org.eclipse.update.core",1384871327500
started,bundle,org.eclipse.update.scheduler,3.2.300.v20100512,"org.eclipse.update.scheduler",1384871327500
started,bundle,com.altera.sbtgui.integration,13.13.0.132,"com.altera.sbtgui.integration",1384871327501
started,bundle,com.altera.sbtgui.project,13.13.0.132,"com.altera.sbtgui.project",1384871327501
started,bundle,com.altera.systemconsole,13.13.0.132,"com.altera.systemconsole",1384871327502
started,bundle,com.altera.systemconsole.designs.plugin,13.13.0.132,"com.altera.systemconsole.designs.plugin",1384871327502
started,bundle,com.altera.utilities,13.13.0.132,"com.altera.utilities",1384871327502
os,sysinfo,,,"win32",1384871327504
arch,sysinfo,,,"x86",1384871327504
ws,sysinfo,,,"win32",1384871327504
locale,sysinfo,,,"en_US",1384871327504
processors,sysinfo,,,"4",1384871327505
java.runtime.name,sysinfo,,,"Java(TM) SE Runtime Environment",1384871327505
java.runtime.version,sysinfo,,,"1.6.0_23-b05",1384871327505
java.specification.name,sysinfo,,,"Java Platform API Specification",1384871327505
java.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1384871327505
java.specification.version,sysinfo,,,"1.6",1384871327505
java.vendor,sysinfo,,,"Sun Microsystems Inc.",1384871327505
java.version,sysinfo,,,"1.6.0_23",1384871327505
java.vm.info,sysinfo,,,"mixed mode",1384871327505
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1384871327505
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1384871327505
